9 6 10 A
9 7 2 A
9 7 5 A
9 7 7 A
9 7 9 A
9 8 5 A
9 8 8 A
9 9 3 A
9 9 5 A
9 9 6 A
9 9 8 A
9 9 9 A
9 9 10 A
9 10 3 A
9 10 5 A
9 10 6 A
9 10 7 A
10 1 2 A
10 1 6 A
10 1 10 A
10 2 1 A
10 2 4 A
10 2 5 A
10 2 7 A
10 3 1 A
10 3 4 A
10 3 6 A
10 3 8 A
10 4 6 A
10 5 1 A
10 5 6 A
10 5 7 A
10 5 10 A
10 6 1 A
10 6 3 A
10 6 4 A
10 6 5 A
10 6 6 A
10 6 7 A
10 6 10 A
10 7 1 A
10 7 3 A
10 7 5 A
10 7 8 A
10 7 10 A
10 8 1 A
10 8 3 A
10 8 8 A
10 8 10 A
10 9 1 A
10 9 2 A
10 9 5 A
10 9 8 A
10 9 9 A
10 10 2 A
